Symbol,Name,Exchange,Sector,Price,PricetoEarnings,DividendYield,EarningsperShare,FiftytwoWeekHigh,FiftytwoWeekLow,MarketCap_000s,EBITDA,PricetoSales,PricetoBook
PX,Praxair Inc.,NYSE,Materials,144.07,24.63,2.2,4.32,166.95,115.53,42948664,3632000000,3.887915,6.88
PFG,Principal Financial Group,NYSE,Financials,60.38,11.96,3.19,4.5,75.585,58.9401,18457200,0,1.7167546,1.53
PG,Procter & Gamble,NYSE,Consumer_Staples,80.22,20.46,3.37,5.6,94.67,80.1,206318943,17249000000,3.1595004,3.85
PGR,Progressive Corp.,NYSE,Financials,51.07,20.76,2.11,2.73,58.25,36.84,31062780,0,1.1458876,3.25
PLD,Prologis,NYSE,Real_Estate,58.33,20.76,2.93,3.06,67.53,48.69,31953288,2969194000,14.380373,2.11
PRU,Prudential Financial,NYSE,Financials,103.38,9.99,2.7,9.73,127.14,97.88,47136080,0,1.083727,0.93
PEG,Public Serv. Enterprise Inc.,NYSE,Utilities,46.73,16.11,3.61,1.75,53.28,41.67,24138050,3613000000,3.4491453,1.88
PSA,Public Storage,NYSE,Real_Estate,180.49,18.21,4.32,6.81,232.21,180.9254,32258540,1924803000,16.16417,6.56
PHM,Pulte Homes Inc.,NYSE,Consumer_Discretionary,28.67,12.86,1.2,1.44,35.21,21.06,8792572,992811000,1.0341544,1.99
PVH,PVH Corp.,NYSE,Consumer_Discretionary,142.68,20.98,0.1,6.77,157.96,84.53,11478626,1057500000,1.7617522,2.14
PWR,Quanta Services Inc.,NYSE,Industrials,33.51,17.54,0,1.28,40.105,30.23,5330131,649404000,0.77893436,1.43
DGX,Quest Diagnostics,NYSE,Health_Care,96.42,17.07,1.99,5.5,112.965,90.1,13578300,1453000000,1.7709883,2.82
RRC,Range Resources Corp.,NYSE,Energy,12.82,35.61,0.61,-2.79,34.09,12.7,3255588,820095000,1.9624339,0.59
RJF,Raymond James Financial Inc.,NYSE,Financials,86.06,16.94,1.1,4.12,99.1,71.35,13216272,0,1.9734555,2.34
RTN,Raytheon Co.,NYSE,Industrials,198.74,25.78,1.56,6.95,213.45,147.86,59066256,3868000000,2.2938328,5.28
O,Realty Income Corporation,NYSE,Real_Estate,47.56,15.54,5.37,1.12,63.6,48.89,13784942,1075568000,15.588069,1.92
RHT,Red Hat Inc.,NYSE,Information_Technology,124.65,79.9,0,1.68,135.77,78.48,22799924,541809000,8.202077,15.69
REG,Regency Centers Corporation,NYSE,Real_Estate,55.58,15.27,3.69,1.43,72.05,56.66,9858367,487636000,13.762162,1.51
RF,Regions Financial Corp.,NYSE,Financials,17.9,17.9,1.9,1,19.9,13,21500640,0,3.474771,1.32
RSG,Republic Services Inc,NYSE,Industrials,62.72,26.13,2.14,1.77,69.4,57.53,21590904,2734000000,2.8841186,2.83
RMD,ResMed,NYSE,Health_Care,89.26,31.54,1.51,2.41,104.78,67.04,13233623,636942000,6.1640687,6.61
RHI,Robert Half International,NYSE,Industrials,52.26,20.18,1.71,2.32,60.59,42.92,7047165,565196000,1.3330402,5.98
ROK,Rockwell Automation Inc.,NYSE,Industrials,178.73,26.48,1.77,6.35,210.72,147.67,24123216,1323200000,3.760594,10.94
COL,Rockwell Collins,NYSE,Industrials,133.31,22.29,0.97,4.8,139.63,89.9,22197871,1696000000,3.781273,3.46
ROP,Roper Technologies,NYSE,Industrials,259.4,27.57,0.62,9.38,290.415,191.22,27247790,1555209000,5.9715905,4.23
RCL,Royal Caribbean Cruises Ltd,NYSE,Consumer_Discretionary,122.45,16.26,1.87,7.53,135.65,93.4,27418147,2876309000,3.1026611,2.56
CRM,Salesforce.com,NYSE,Information_Technology,104.03,520.15,0,0.27,114.52,79.63,79489115,925804000,10.3738785,8.81
SCG,SCANA Corp,NYSE,Utilities,35.6,8.75,6.68,4.16,71.28,35.31,5229449,1459000000,1.651705,0.92
SLB,Schlumberger Ltd.,NYSE,Energy,67.4,44.93,2.87,-1.08,82.71,61.02,96529311,3222000000,3.2297828,2.64
SNI,Scripps Networks Interactive Inc.,NYSE,Consumer_Discretionary,86.46,16.04,1.38,5.18,88.87,64.87,11328642,1351059000,4.374079,4.22
